,id,value,feed_id,created_at,lat,lon,ele
11889,0EZY0P9TBH4Q4R79798KV7WWYK,"{""temp"": ""28.05"", ""humid"": ""44"", ""light"": ""737""}",1839383,2022-04-04 06:50:32 UTC,,,
11890,0EZY0PBZ72VK6BT95S3PYMNWT8,"{""temp"": ""28.06"", ""humid"": ""43"", ""light"": ""711""}",1839383,2022-04-04 06:50:39 UTC,,,
11891,0EZY0PE4927WF2GX2WE8TAKKF7,"{""temp"": ""28.05"", ""humid"": ""43"", ""light"": ""725""}",1839383,2022-04-04 06:50:46 UTC,,,
11892,0EZY0PGJZG510SNF1CMZNDFW63,"{""temp"": ""28.02"", ""humid"": ""42"", ""light"": ""725""}",1839383,2022-04-04 06:50:54 UTC,,,
11893,0EZY0PJQJJ05JBG8VQ53PEPERS,"{""temp"": ""28.02"", ""humid"": ""43"", ""light"": ""726""}",1839383,2022-04-04 06:51:01 UTC,,,
11894,0EZY0PMWB6GCTYEQM1ZCYYFPQ0,"{""temp"": ""28"", ""humid"": ""43"", ""light"": ""741""}",1839383,2022-04-04 06:51:08 UTC,,,
11895,0EZY0PQ16FZR2ZTJBFMYM3HEFY,"{""temp"": ""27.08"", ""humid"": ""42"", ""light"": ""742""}",1839383,2022-04-04 06:51:15 UTC,,,
11896,0EZY0PS5Y9XN8XEEHQ10090DXS,"{""temp"": ""27.08"", ""humid"": ""42"", ""light"": ""702""}",1839383,2022-04-04 06:51:22 UTC,,,
11897,0EZY0PVAKQ0R260K5A6XQC5GBX,"{""temp"": ""27.06"", ""humid"": ""42"", ""light"": ""703""}",1839383,2022-04-04 06:51:29 UTC,,,
11898,0EZY0PXFBGT7XC1XYR3GF73C6R,"{""temp"": ""27.05"", ""humid"": ""42"", ""light"": ""741""}",1839383,2022-04-04 06:51:36 UTC,,,
11899,0EZY0Q6G959KHXCZZYRD0VHT15,"{""temp"": ""27"", ""humid"": ""44"", ""light"": ""742""}",1839383,2022-04-04 06:52:06 UTC,,,
11900,0EZY0Q8BEQR5D7TQBE9NS6EEAS,"{""temp"": ""26.09"", ""humid"": ""44"", ""light"": ""740""}",1839383,2022-04-04 06:52:12 UTC,,,
11901,0EZY0QB36PEK719A7WVCM5YXNF,"{""temp"": ""26.08"", ""humid"": ""44"", ""light"": ""700""}",1839383,2022-04-04 06:52:21 UTC,,,
11902,0EZY0QCXXMWKJF659ZQ0X5P87G,"{""temp"": ""26.07"", ""humid"": ""45"", ""light"": ""707""}",1839383,2022-04-04 06:52:27 UTC,,,
11903,0EZY0QERTDM2XNAZT13X64FH3Y,"{""temp"": ""26.05"", ""humid"": ""45"", ""light"": ""717""}",1839383,2022-04-04 06:52:33 UTC,,,
11904,0EZY0R8Q8E501WG2D757ZW1GXB,"{""temp"": ""25.05"", ""humid"": ""46"", ""light"": ""737""}",1839383,2022-04-04 06:53:58 UTC,,,
11905,0EZY0RBFKPCS6XQ5AKTX78PY9W,"{""temp"": ""25.05"", ""humid"": ""46"", ""light"": ""734""}",1839383,2022-04-04 06:54:07 UTC,,,
11906,0EZY0RDA15QVCEA13H22JS08KN,"{""temp"": ""25.04"", ""humid"": ""46"", ""light"": ""734""}",1839383,2022-04-04 06:54:13 UTC,,,
11907,0EZY0RF4RKRK0ZEKFC9ZKZFJSS,"{""temp"": ""25.05"", ""humid"": ""46"", ""light"": ""734""}",1839383,2022-04-04 06:54:19 UTC,,,
